CMDLINE /home/jaime/anaconda3/bin/python measure_memory_usage.py
MEM 187.378906 1579035327.6601
MEM 187.378906 1579035327.7606
MEM 187.378906 1579035327.8609
MEM 187.378906 1579035327.9614
MEM 187.378906 1579035328.0618
MEM 187.378906 1579035328.1623
MEM 187.378906 1579035328.2628
MEM 187.378906 1579035328.3632
MEM 164.761719 1579035328.4637
MEM 164.761719 1579035328.5645
MEM 164.761719 1579035328.6653
MEM 164.761719 1579035328.7662
MEM 164.761719 1579035328.8668
MEM 164.761719 1579035328.9676
MEM 164.761719 1579035329.0685
MEM 164.761719 1579035329.1693
MEM 164.761719 1579035329.2702
MEM 164.761719 1579035329.3708
MEM 164.761719 1579035329.4717
MEM 169.851562 1579035329.5720
MEM 180.933594 1579035329.6723
MEM 190.589844 1579035329.7726
MEM 194.855469 1579035329.8730
MEM 190.718750 1579035329.9733
MEM 190.718750 1579035330.0737
MEM 190.718750 1579035330.1741
MEM 190.718750 1579035330.2744
MEM 190.718750 1579035330.3748
MEM 190.718750 1579035330.4753
MEM 190.718750 1579035330.5762
MEM 190.718750 1579035330.6767
MEM 190.718750 1579035330.7772
MEM 190.718750 1579035330.8798
MEM 190.718750 1579035330.9804
MEM 190.718750 1579035331.0810
MEM 190.718750 1579035331.1817
MEM 190.718750 1579035331.2823
MEM 190.718750 1579035331.3830
MEM 190.718750 1579035331.4837
MEM 190.718750 1579035331.5842
MEM 190.718750 1579035331.6848
MEM 190.718750 1579035331.7854
MEM 190.718750 1579035331.8860
MEM 190.718750 1579035331.9866
MEM 190.718750 1579035332.0871
MEM 190.718750 1579035332.1875
MEM 190.718750 1579035332.2880
MEM 190.718750 1579035332.3885
MEM 190.718750 1579035332.4889
MEM 190.718750 1579035332.5893
MEM 190.718750 1579035332.6897
MEM 190.718750 1579035332.7901
MEM 190.718750 1579035332.8906
MEM 190.718750 1579035332.9910
MEM 190.718750 1579035333.0915
MEM 190.718750 1579035333.1919
MEM 190.718750 1579035333.2923
MEM 190.718750 1579035333.3927
MEM 190.718750 1579035333.4931
